episode,character,line
Tourist Trapped,Narration,A seemingly obsessed touristlaughs while looking at a Stan bobblehead in action.
Tourist Trapped,Stan,So quit being so paranoid!(Gives Dipper the signs; Dipper sighs)
Tourist Trapped,Narration,Cut to a foggy forest with trees getting blown by the wind.
Tourist Trapped,Dipper,"Ugh, Grunkle Stan. Nobody ever believes anything I say.(Puts one sign up on a tree that says ""To The Mystery Shack."" He starts to hammer a nail on anothertree trunk, but it makes a metallic sound.)Huh?(He taps the tree with the hammer, which makes more metallic sounds. He wipes away some dust and opens a secret window revealing a mechanical box with two control switches on top. He tests one control but nothing happens. Then he tries the other. Behind him, a hatch opens up in the ground. Gompers bleats and runs away.)What the...?"
Tourist Trapped,Narration,"Dipper looks inside the hatch, and there is a thick tatteredbook. It is fully covered in dust with multiple cobwebs and scurrying millipedes. He picks the book up and blows the dust off the front cover, revealing a gold six-fingered left handprint with a number ""3"" written on its palm. He places it on the ground, and checks for people watching. He opens the book with the words ""Property of--"" on the first page and an eye-glass is in it. He looks at the eye-glass and puts it down. He flips another page, and begins reading aloud:"
Tourist Trapped,Dipper,"""It's hard to believe it's been six years sinceIbegan studying the strange and wondrous secrets of Gravity Falls, Oregon.""(Flips through the journal's pages of floating eyeballs, giant vampire bats and gnomes)What is all this?(Stops at a page that says ""TRUST NO ONE!"" and starts reading)""Unfortunately, my suspicions have been confirmed. I'm being watched. I must hide this book beforeHefinds it. Remember – In Gravity Falls, there is no one you can trust.""(Closes Journal)No one you can trust..."
Tourist Trapped,Mabel,(Jumps up behind Dipper's back on a log)HELLO!
Tourist Trapped,Dipper,AH!
Tourist Trapped,Mabel,"What'cha readin', some nerd thing?"
Tourist Trapped,Dipper,"(Hides journal behind back)Uh, uh, it's nothing!"
Tourist Trapped,Mabel,"(Mocking Dipper:)""Uh, uh, it's nothing!""(Laughs)What? Are you actually not gonna show me?"
Tourist Trapped,Gompers,(Nibbles the edge of the journal)
Tourist Trapped,Dipper,Uhhh...(Glances at Gompers)Let's go somewhere private.
Tourist Trapped,Narration,Cut to a view of the Mystery Shack. Dipper and Mabel are in the living room.
Tourist Trapped,Dipper,"It's amazing! Grunkle Stan said I was being paranoid, but according to this book, Gravity Falls has this secret dark side.(Shows Mabel a page)"
Tourist Trapped,Mabel,Whoa! Shut. Up!(Pushes Dipper)
Tourist Trapped,Dipper,"And get this! After a certain point, the pages just stop, like the guy who was writing it... mysteriously disappeared.(Doorbell rings)Who's that?"
Tourist Trapped,Mabel,"Well, time to spill the beans.(Knocks over a can of beans on the table)Boop. Beans. This girl's got a date! Woot woot!(Falls backward into the chair, giggling)"
Tourist Trapped,Dipper,"Let me get this straight: in the half hour I was gone, you already found a boyfriend?"
Tourist Trapped,Mabel,What can I say? I guess I'm just...(Waving her sweater sleeves loosely)IRRESISTIBLLLLE!(Doorbell rings twice)Oh. Coming!(Runs out)
Tourist Trapped,Dipper,(Sits down in chair and begins to read the Journal)
Tourist Trapped,Stan,"(Walks in and sees Dipper)What'cha reading there, slick?"
Tourist Trapped,Dipper,"Oh!(Quickly hides the book under the seat cushion and grabs a magazine)I was just catching up on, uh...(Sees the cover of the magazine)""Gold Chains For Old Men Magazine""?"
Tourist Trapped,Stan,That's a good issue.
Tourist Trapped,Mabel,"(Standing next toNorman)Hey, family! Say hello to my new boyfriend!"
Tourist Trapped,Narration,"Mabel's boyfriend turns to see Dipper and Stan. He appears to look unsettling with pale skin, hair covering his left eye, a visible fang and red liquid seen on his right cheek. He is limp and wearing a torn black zipped hoodie."
Tourist Trapped,Norman,'Sup?
Tourist Trapped,Dipper,Hey...
Tourist Trapped,Stan,How's it hanging?
Tourist Trapped,Mabel,We met at thecemetery. He'sreallydeep.(Feels his arm)Oh. Little muscle there. That's...what a surprise...
Tourist Trapped,Dipper,"So, what's your name?"
Tourist Trapped,Norman,(Struggling to speak)Uh... Normal... Man?!
Tourist Trapped,Mabel,He means Norman.
Tourist Trapped,Dipper,"Are you bleeding, Norman?"
Tourist Trapped,Norman,(With a red liquid dripping down his face)It's jam.
Tourist Trapped,Mabel,(Gasps)Ilovejam! Look. At. This!
Tourist Trapped,Norman,"So, you wanna go hold hands or... whatever...?"
Tourist Trapped,Mabel,"Oh, oh, my goodness.(Giggles)Don't wait up!(Runs out)"
Tourist Trapped,Norman,(Points at Stan and Dipper and runs into the wall several times on his way out)
Tourist Trapped,Dipper,(Narrating:)There was something about Norman that wasn't right. I decided to consult the journal.
Tourist Trapped,Narration,Scene transitions to Dipper in the attic.
Tourist Trapped,Dipper,"(Reading aloud from the Journal:)""Known for their pale skin and bad attitudes, these creatures are often mistaken for... teenagers?! Beware Gravity Falls's nefarious...""(Gasps)"
Tourist Trapped,Narration,We see the journal page onThe Undead. The picture of the zombie becomes Norman.
Tourist Trapped,Norman,(As the zombie on the journal page:)'Sup.
Tourist Trapped,Dipper,ZOMBIE!(Echoing)
Tourist Trapped,Narration,Cut to Stan in the bathroom.
Tourist Trapped,Stan,"Somebody say ""crombie""? What is that, crombie? That's not even a word. You're losing your mind."
Tourist Trapped,Narration,Dipper looks out the window to see Norman walking towards Mabel with outstretched arms while moaning.
Tourist Trapped,Mabel,I like you.
Tourist Trapped,Dipper,"Oh, no! Mabel! No, no, Mabel, watch out!"
Tourist Trapped,Norman,(Moans as he puts hands around Mabel's neck)
Tourist Trapped,Dipper,AHHHHH!
Tourist Trapped,Norman,"(Groans in satisfaction and removes arms, revealing flower necklace)"
Tourist Trapped,Mabel,(Gasps)Daisies? You scallywag...
Tourist Trapped,Dipper,"(Turns away from the window, thinking)Is my sister really dating a zombie, or am I just going nuts?"
Tourist Trapped,Soos,"(Offscreen)It's a dilemma, to be sure.(Dipper gasps, sees Soos fixing a lightbulb next to him)I couldn't help but overhear you talkin' aloud to yourself in this empty room."
Tourist Trapped,Dipper,"Soos, you've seen Mabel's boyfriend. He's gotta be a zombie, right?"
Tourist Trapped,Soos,Hmm. How many brains didja see the guy eat?
Tourist Trapped,Dipper,(Looks down)Zero.
Tourist Trapped,Soos,"Look, dude, I believe you. I'm always noticing weird stuff in this town. Like themailman? Pretty sure that dude's a werewolf."
Tourist Trapped,Narration,"Flashback of a hairy mailman walking by Soos, who is eating his lunch outside. Soos scoots away from him, suspicious."
Tourist Trapped,Soos,"But ya gotta have evidence. Otherwise, people are gonna think you’re a major league cuckoo clock."
Tourist Trapped,Dipper,"As always, Soos, you’re right."
Tourist Trapped,Soos,My wisdom is both a blessing and a curse.
Tourist Trapped,Stan,(Shouting offscreen:)Soos! The portable toilets are clogged again!
Tourist Trapped,Soos,(Adjusts his hat)I am needed elsewhere.(Leaves the room by walking backwards)
Tourist Trapped,Dipper,(Narrating:)My sister could be in trouble. It was time to get some evidence.
Tourist Trapped,Narration,Cut to Dipper filming Mabel and Norman in the park. Upbeat chiptune music plays in the background.
Tourist Trapped,Mabel,"(Throws a Frisbee at Norman's head, who fails to catch it and falls over)"
Tourist Trapped,Dipper,(Stops looking through camera and frowns at Norman)
Tourist Trapped,Narration,Cut to Norman breaking through a door window to open it from the inside and letting Mabel inside the diner.
Tourist Trapped,Norman,"(Stumbles around and crashes, trying to follow Mabel)"
Tourist Trapped,Dipper,(Looks out from behind menu)
Tourist Trapped,Narration,Cut to Mabel and Norman frolicking in a field.
Tourist Trapped,Norman,"(Falls into an open grave, then crawls out, hand first, screaming)"
Tourist Trapped,Mabel and Norman,"(Pause, then laugh)"
Tourist Trapped,Dipper,(Narrating:)I'd seen enough.
Tourist Trapped,Narration,Cut to Mabel and Dipper's room. Mabel is brushing her hair and Dipper enters.
Tourist Trapped,Dipper,(Not narrating:)Mabel. We've gotta talk about Norman.
Tourist Trapped,Mabel,"Isn’t he the best? Check out this giant smooch mark he gave me!(Shows her cheek, which has a large red spot on it)"
Tourist Trapped,Dipper,Ah!
Tourist Trapped,Mabel,"Ha, ha! Gullible. It was just an accident with the leaf blower!"
Tourist Trapped,Narration,Flashback to Mabel with a leaf blower.
Tourist Trapped,Mabel,"(Putting a picture of Norman on leaf blower's tube)Kissing practice!(Leans in to leaf blower, but then it sucks in the picture and sticks to her face as well; she runs around)AHHH! Turn it off! Turn it off!"
Tourist Trapped,Narration,Cut back to present.
Tourist Trapped,Mabel,That was fun.
Tourist Trapped,Dipper,"No, Mabel, listen! I’m trying to tell you that Norman is not what he seems!(Shows her the Journal)"
Tourist Trapped,Mabel,(Gasps)You think he might be a vampire? That would be soawesome!
Tourist Trapped,Dipper,"Guess again, sister. Sha-BAM!(Holds book open to the Gnomes page)"
Tourist Trapped,Mabel,Agh!
Tourist Trapped,Dipper,"Oh, wait. I'm-I'm sorry...(Flips to Undead page)Shabam!"
Tourist Trapped,Mabel,"(Doubtfully)A zombie? That is not funny, Dipper."
Tourist Trapped,Dipper,"(Puts the Journal back into his vest)I'm not joking! It all adds up: the bleeding, the limp... He never blinks! Have you noticed that?"
Tourist Trapped,Mabel,Maybehe'sblinking whenyou'reblinking.
Tourist Trapped,Dipper,"Mabel, remember what the book said about Gravity Falls? ""Trust no one!"""
Tourist Trapped,Mabel,"Well, what aboutme, huh? Why can’t you trust me?(Puts on star earrings)Beep-bop!"
Tourist Trapped,Dipper,"Mabel,(shaking her)he's gonna eat your brain!"
Tourist Trapped,Mabel,"(Pushes him away, feeling angry)Dipper, listen to me. Norman and I are going on a date at five o’clock, and I'm gonna be ADORABLE, and he's gonna be DREAMY...(pushing Dipper out of the room)"
Tourist Trapped,Dipper,Wait! Bu-bu-but—
Tourist Trapped,Mabel,And I am not gonna let you ruin it with one of your crazy CONSPIRACIES!(Slams the door)
Tourist Trapped,Dipper,(Sighs and sits down)What am I gonna do?
Tourist Trapped,Narration,"Cut to the owl clock, which tells the time at 5:00. The doorbell rings."
Tourist Trapped,Mabel,"(Pulls on her purple sweater as she excitedly races downstairs)Coming!(Sees Norman)Hey, Norman. How do I look?(Closeup on her sparkling sweater with a cat's head and the words ""MEOW WOW!"" on it)"
Tourist Trapped,Norman,Shiny...
Tourist Trapped,Mabel,You always know what to say!(Walks off with him)
Tourist Trapped,Dipper,"(Watching the video he collected)Soos was right. I don't have any real evidence.(Video shows Mabel teaching Norman hopscotch, but he only falls over; Dipper fast forwards to Mabel and Norman with Norman's arm around Mabel)I guess I can be kind of paranoid sometimes and—(on the tape, Norman's hand falls off; he glances around, then reattaches it)Wait, WHAT?!(Rewinds the tape and watches it again; he screams and tips the chair backwards)I was right! Oh my gosh! Oh my gosh!(Races outside)Grunkle Stan, Grunkle Stan! Grunkle Stan!"
Tourist Trapped,Stan,(On a stage in front of a bunch of tourists; to the crowd:)And here we have Rock that looks like a face rock: the rock that looks like a face.
Tourist Trapped,Unnamed hillbilly,Does it look like a rock?
Tourist Trapped,Stan,"No, it looks like a face."
Tourist Trapped,Fat Tourist,Is it a face?
Tourist Trapped,Stan,It's a rock thatlookslike a face!
Tourist Trapped,Dipper,Over here! Grunkle Stan!
Tourist Trapped,Stan,"For the fifth time, it's-it's not an actual face!"
Tourist Trapped,Dipper,(Grimaces)Errrgh!!
Tourist Trapped,Narration,Cut to Mabel and Norman in the woods.
Tourist Trapped,Mabel,"Finally, we're alone."
Tourist Trapped,Norman,(Ominously)Yes.Alone...
Tourist Trapped,Narration,Cut back to the Mystery Shack. Dipper desperately tries to get Stan's attention from the visitors.
Tourist Trapped,Dipper,"Stan! Stan!(Sees Wendy drive up in a golf cart and runs over)Wendy! Wendy, Wendy! I need to borrow the golf cart so I can save my sister from a zombie!"
Tourist Trapped,Wendy,(Gives Dipper the key and walks off with a wink)Try not to hit any pedestrians.
Tourist Trapped,Dipper,"(Gets in and starts to drive, but Soos stops him)"
Tourist Trapped,Soos,"Dude, it's me, Soos. This is for the zombies.(Gives Dipper a shovel)"
Tourist Trapped,Dipper,Thanks.
Tourist Trapped,Soos,(Holds up a baseball bat)And this is in case you see a piñata.
Tourist Trapped,Dipper,(Takes the bat)Uh... thanks?(Drives off)
Tourist Trapped,Soos,Better safe than sorry!
Tourist Trapped,Narration,Cut back to the woods.
Tourist Trapped,Norman,"Uh, Mabel, now that we’ve gotten to know each other, there's...(exhales)...there's something I should tell you."
Tourist Trapped,Mabel,"Oh, Norman, you can tell me anything!(Thinking:)Please be a vampire, please be a vampire...!"
Tourist Trapped,Norman,"All right, just... just don’t freak out, okay? Just... just keep an open mind, be cool.(Unzips his hoodie and throws it off; underneath are five gnomes standing on top of each other. The top gnome speaks)"
Tourist Trapped,Jeff,Is this weird? Is this too weird? Do you need to sit down?
Tourist Trapped,Mabel,(Stares at the gnomes in total shock)
Tourist Trapped,Jeff,"R-r-right, I'll explain. So! We’re gnomes. First off. Get that one outta the way."
Tourist Trapped,Mabel,(Still shocked)Uh...
Tourist Trapped,Jeff,"I'm Jeff, and here we haveCarson,Steve,Jasonand... I'm sorry, I always forget your name."
Tourist Trapped,Shmebulock,Shmebulock!
Tourist Trapped,Jeff,"(Snaps his fingers)Shmebulock! Yes!(Mabel sits down on a rock, slaps her head)Anyways, long story short, us gnomes have been lookin' for a new queen! Right, guys?"
Tourist Trapped,Gnomes except Jeff,Queen! Queen! Queen!
Tourist Trapped,Jeff,"Heh, so whaddya say?(Taps Steve with his foot, and the gnomes work together to make ""Norman"" kneel in a proposing fashion. A small case opens to reveal a diamond ring)Will you join us in holy matri-gnome-y? Matri...matri-mo-ny! Bleahh! Can't talk today!"
Tourist Trapped,Mabel,"Look... I'm sorry, guys. You're really sweet, but... I'm a girl and you're gnomes, and it's like, ""what?!"" Yikes..."
Tourist Trapped,Jeff,"We understand. We'll never forget you, Mabel.(The gnomes look sad and Mabel smiles)Because we're gonna kidnap you."
Tourist Trapped,Mabel,Huh?!
Tourist Trapped,Jeff,(Snarls like a beast and jumps at her)
Tourist Trapped,Mabel,(Screams)
Tourist Trapped,Narration,Cut to Dipper driving through the woods.
Tourist Trapped,Dipper,"Don't worry, Mabel! I'll save you from that zombie!"
Tourist Trapped,Mabel,(Off-screen)Help!
Tourist Trapped,Dipper,Hold on!
Tourist Trapped,Narration,Dipper drives down a deep underground tunnel to the gnomes' hideout. He sees the gnomes trying to pin down Mabel.
Tourist Trapped,Jeff,"The more you struggle, the more awkward this is gonna be for everybody! Just, ha ha, okay. Get her arm there, Steve!"
Tourist Trapped,Mabel,(With Steve biting her sweater arm)Let go of me!(Punches Steve off)
Tourist Trapped,Steve,"(Bounces around, then stand upright and pukes out a rainbow)"
Tourist Trapped,Dipper,What theheckis going on here?!
Tourist Trapped,Gnome,(Hisses at him)
Tourist Trapped,Mabel,Dipper! Norman turned out to be a bunch of gnomes! And they're total jerks!(As a gnome pulls her hair)Hair! Hair! Hair!
Tourist Trapped,Dipper,"Gnomes? Huh, I waswayoff...(Takes the journal out of his vest and reads the relevant page aloud:)""Gnomes: little men of the Gravity Falls Forest. Weaknesses: unknown.""(When Dipper lowers the book, he sees that the gnomes have managed to tie Mabel to the ground)"
Tourist Trapped,Mabel,"Aw, come on!"
Tourist Trapped,Dipper,"(Walks up to Jeff)Hey, HEY! Let go of my sister!"
Tourist Trapped,Jeff,"Oh! Haha, hey there! Um, you know, this is all really just a big misunderstanding. You see, your sister's not in danger. She's just marrying all one thousand of us and becoming our gnome queen for all eternity! Isn't that right, honey?"
Tourist Trapped,Mabel,You guys are butt-faces!
Tourist Trapped,Gnome,"(Covers Mabel's mouth, muffling her)"
Tourist Trapped,Mabel,Mmmm-MMMMM!
Tourist Trapped,Dipper,"(Holds up the shovel he brought, pointing it at Jeff)Give her back right now, or else!"
Tourist Trapped,Jeff,"You think you can stop us, boy? You have no idea what we're capable of. The gnomes are a powerful race! Do not trifle with the—"
Tourist Trapped,Dipper,(Casually picks Jeff up with the shovel and tosses him away)
Tourist Trapped,Jeff,AH!
Tourist Trapped,Dipper,(Cuts Mabel free with the shovel)
Tourist Trapped,Mabel,Yah!(Kicks gnomes away; Dipper and Mabel get in the cart)
Tourist Trapped,Jeff,"(Angrily)He's getting away with our queen! No, no,no!!"
Tourist Trapped,Dipper,"Seatbelt.(Mabel buckles, he backs up and then he drives away)"
Tourist Trapped,Jeff,"You've messed with the wrong creatures, boy! Gnomes of the forest...ASSEMBLE!!"
Tourist Trapped,Narration,"Hearing Jeff's thunderous cry, hundreds of gnomes come out of giant mushrooms and trees to gather around Jeff in the middle. They stack themselves up and link hands, forming a pyramid with Jeff at the top. Outside, Dipper drives the golf cart at full speed with Mabel beside him."
Tourist Trapped,Mabel,"Hurry, before they come after us!"
Tourist Trapped,Dipper,"I wouldn't worry about it, see their little legs? Those suckers are tiny!(Stops the cart as he hears a stomping sound; a giant stacked gnome monster stops behind the cart)"
Tourist Trapped,Mabel,Dang.
Tourist Trapped,Jeff,"(On the top, using gnomes' hats like levers)All right, teamwork, guys, like we practiced.(Gnome monster raises its arms in the air, roaring)"
Tourist Trapped,Mabel,"Move, MOVE!"
Tourist Trapped,Dipper,(Drives the cart away just as the gnomes smash their arm down and it breaks)
Tourist Trapped,Gnomes,(Run frantically back into position and they chase the kids again)
Tourist Trapped,Jeff,Come back with our queen!
Tourist Trapped,Mabel,It's getting closer!
Tourist Trapped,Gnome Giant,(Throws several gnomes at the cart)
Tourist Trapped,Gnomes,(Chew cart and cause havoc)
Tourist Trapped,Gnome,(Hanging from side of cart)Ha ha!
Tourist Trapped,Narration,"Mabel elbow punches a gnome off. Shmebulock jumps up behind Dipper, who grabs him and slams him into the steering wheel out of annoyance."
Tourist Trapped,Shmebulock,Shmebulock...(Falls out of the cart)
Tourist Trapped,Gnome,(Jumps onto the cart and claws Dipper's face)
Tourist Trapped,Mabel,"I'll save you, Dipper!(Repeatedly punches the gnome off of Dipper's face and the gnome falls off with Dipper's hat)"
Tourist Trapped,Dipper,"(Dazed from the punches)Thanks, Mabel..."
Tourist Trapped,Mabel,Don't mention it.
Tourist Trapped,Gnome Giant,(Picks up tree and throws it)
Tourist Trapped,Mabel,Look out!
Tourist Trapped,Dipper and Mabel,AAAAAAHHHHHH!
Tourist Trapped,Narration,"The cart overturns, landing next to the Mystery Shack."
Tourist Trapped,Dipper and Mabel,(Crawl out of the cart)
Tourist Trapped,Gnomes,(Approaches)
Tourist Trapped,Dipper,"(To the gnomes:)Stay back, man!(Throws the shovel at the gnome giant)"
Tourist Trapped,Gnomes,(Punches shovel in mid-air)
Tourist Trapped,Dipper and Mabel,(Grab each other)Aaahhh!
Tourist Trapped,Dipper,"Uh, where's Grunkle Stan?!"
Tourist Trapped,Narration,Cut to Stan in the shack with some tourists.
Tourist Trapped,Stan,(Holding up a swirly pattern on a stick)Behold; the world's most distracting object!(Pulls the string and rotates into a continuous spiral)
Tourist Trapped,Tourists,Oooh...
Tourist Trapped,Stan,"Just try to look away, you can't.(Long pause)I can't even remember what I was talking about..."
Tourist Trapped,Jeff,"It's the end of the line, kids! Mabel, marry us before we do something crazy!"
Tourist Trapped,Dipper,There's gotta be a way out of this!
Tourist Trapped,Mabel,I gotta do it.
Tourist Trapped,Dipper,"What?! Mabel, don't do this! Are you crazy?"
Tourist Trapped,Mabel,Trust me.
Tourist Trapped,Dipper,What?
Tourist Trapped,Mabel,"Dipper, just this once. Trust me!"
Tourist Trapped,Dipper,"(Glances at gnomes, then Mabel, then backs away)"
Tourist Trapped,Mabel,"Alright, Jeff. I'll marry you."
Tourist Trapped,Jeff,"Hot dog!! Help me down there, Jason.(Climbing down to her)Thanks, Andy. All right, left foot, there we go, watch those fingers, Mike.(Approaches Mabel and holds out diamond ring)Eh? Ehh?"
Tourist Trapped,Mabel,(Holds out hand)
Tourist Trapped,Jeff,"(Puts the ring on her hand)Bada-bing, bada-bam! Now let's get you back into the forest, honey!"
Tourist Trapped,Mabel,You may now kiss the bride.
Tourist Trapped,Jeff,"Well, don't mind if I do.(Leans up to kiss Mabel)"
Tourist Trapped,Narration,"As Jeff leans in for a kiss, Mabel leans backwards and turns on the leaf-blower behind her. She aims at Jeff to pull him into the suction."
Tourist Trapped,Jeff,"Ah! Hey, hey, wait a minute!(Dipper and the gnomes gasp in surprised shock)Whoa, whoa! Wh-what's goin' on?!(Gets sucked half-way into leaf-blower)"
Tourist Trapped,Mabel,(Angrily)That's for lying to me!(Increases the sucking power)THAT'S for breaking my heart!
Tourist Trapped,Jeff,(Slowly getting sucked in further)Ow! My face!
Tourist Trapped,Mabel,And THIS is for messing with my brother!(Aims at the gnome monster; to Dipper:)Wanna do the honors?
Tourist Trapped,Dipper,On three!
Tourist Trapped,Dipper & Mabel,"One, two, three!(Blast Jeff towards the gnome monster)"
Tourist Trapped,Gnome Giant,(Explodes into separate gnomes)
Tourist Trapped,Jeff,(Flying off into the distance)I-I-I'LL GET YOU BACK FOR THI-I-IS...!!!(Other gnomes scream when they fall)
